Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	3	4	2	1	1	1	3	4	4	1	38	3	EU
3	4	3	4	3	3	3	3	3	3	1	26	1	CA
4	4	1	4	1	4	4	2	3	3	1	22	3	AU
2	3	3	3	4	2	2	4	4	3	2	65	3	CA
4	4	1	4	2	3	2	3	3	3	1	40	3	US
4	4	1	4	1	3	3	2	1	1	2	58	3	US
2	3	3	4	2	2	1	4	4	4	1	34	1	US
4	4	1	4	1	4	4	1	1	1	1	32	1	CA
4	4	2	4	2	4	3	2	3	2	2	16	3	FR
2	2	3	4	3	2	1	4	3	4	2	13	3	GB
3	3	3	2	3	1	1	4	4	4	2	23	3	CA
4	4	2	4	2	3	3	3	2	2	2	56	1	US
3	3	4	1	2	2	1	4	4	4	2	29	1	US
3	3	2	3	3	3	2	3	3	2	1	24	1	FI
3	3	2	4	2	3	3	2	2	2	1	52	3	US
4	4	1	3	2	2	2	3	3	2	1	21	1	US
3	2	2	2	3	3	3	3	3	3	1	14	3	IN
3	4	2	3	2	4	3	2	2	1	2	38	1	DE
2	2	4	3	4	1	2	4	4	4	1	31	3	NZ
3	3	3	3	3	2	2	2	3	2	1	39	3	US
4	4	2	4	3	3	2	3	2	2	1	32	3	PL
4	4	2	4	2	3	3	3	1	2	1	42	3	US
2	2	3	2	4	1	1	4	4	4	2	31	1	GB
4	4	2	3	2	3	3	1	1	1	1	48	1	GB
3	3	2	3	2	3	3	3	2	2	1	46	3	US
3	3	2	3	2	3	3	2	3	2	2	37	3	US
3	3	1	3	2	4	4	3	2	2	2	26	1	US
4	3	1	3	2	3	4	2	3	1	1	48	3	US
3	3	4	2	4	1	1	4	4	4	1	20	3	US
3	3	3	3	3	3	2	2	2	2	2	33	3	US
4	4	1	4	1	4	4	1	2	2	1	23	1	NZ
2	2	3	2	3	2	2	2	3	3	1	21	3	GB
4	4	1	3	1	4	3	4	2	1	1	25	3	GH
4	4	3	3	2	2	2	3	3	4	1	26	3	DE
3	3	4	4	2	3	2	3	2	3	2	30	3	MY
2	2	3	3	3	1	2	3	3	3	1	29	3	US
4	4	2	3	1	3	3	2	2	2	2	53	1	GB
3	3	2	3	3	3	2	3	3	3	1	24	1	BR
3	2	2	2	2	3	3	3	3	3	2	24	3	US
